"시설번호","년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","선풍기보유대수","에어컨보유대수","야간개방","휴일개방","숙박가능여부","입력시간","수정시간","사용여부","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"11290127","2022","1129065000","001","정릉힐스테이트3차경로당","서울특별시 성북구 보국문로 116","1031-0","107","41","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.008044","37.613799","200710.222230","557134.538412"
"11290146","2022","1129066000","001","길음뉴타운8단지 제2경로당","서울특별시 성북구 길음로 33","1284-9","131","31","1","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.017282","37.606247","201525.956510","556296.358763"
"11290121","2022","1129065000","001","청수경로당","서울특별시 성북구 보국문로32길 26","966-24","138","48","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.002448","37.618332","200216.079287","557637.580557"
"11290122","2022","1129065000","001","정릉4동 할머니 경로당","서울특별시 성북구 솔샘로24길 34","254-3","77","25","1","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.009116","37.614652","200804.808101","557229.143144"
"11290123","2022","1129065000","001","정릉4동경로당","서울특별시 성북구 보국문로18가길 5","266-496","147","78","3","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.010753","37.610944","200949.456710","556817.643926"
"11290124","2022","1129065000","001","정릉풍림아이원(아)제3경로당","서울특별시 성북구 솔샘로25길 11-14","239-5","76","40","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.007282","37.615704","200642.901545","557345.934046"
"11290145","2022","1129066000","001","길음9단지경성경로당","서울특별시 성북구 길음로9길 50","1286-0","1265","24","0","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.020986","37.603642","201853.084336","556007.343421"
"11290143","2022","1129066000","001","래미안길음뉴타운9단지(아)경로당","서울특별시 성북구 길음로9길 50","1286-0","98","60","3","3","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.019233","37.603858","201698.345921","556031.339400"
"11290144","2022","1129066000","001","길음뉴타운7단지두산위브(아)경로당","서울특별시 성북구 길음로13길 22","1285-0","250","32","1","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.018662","37.609505","201647.809259","556658.084386"
"11290164","2022","1129070500","001","종암1동SH-VILLE(아)경로당","서울특별시 성북구 종암로9길 71","131-1","41","42","2","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.030162","37.597377","202663.594433","555312.240629"
